sbe	entry- index	start	end	full- src	full- tr	SND- Filename
1101.SBE	0	1	45	Hello.	안녕하세요.	1101.SND
1101.SBE	1	55	150	It seems I've been sent for by someone named "his excellency".	절 부른 분이 '각하'라는 분이라던데요.	1101.SND
1101.SBE	2	151	210	That wouldn't be you, would it?	그게 설마 당신은 아니겠죠?	1101.SND
1102.SBE	0	1	140	What an unexpected pleasure, mister Robert Cath.	정말 뜻밖의 영광이군요, 미스터 로버트 캐스.	1102.SND
1102.SBE	1	141	225	Usually people call me Tyler Whitney.	보통은 날 타일러 휘트니라고 부르죠.	1102.SND
1102.SBE	2	240	330	You should take care when choosing a name for yourself.	자신의 이름을 고를 때는 신중해야 합니다.	1102.SND
1102.SBE	3	331	370	Names have power.	이름에는 힘이 있습니다.	1102.SND
1102.SBE	4	371	470	The most primitive coaches understood this.	가장 원시적인 문화권조차 이 사실을 알았지요.	1102.SND
1102.SBE	5	471	540	But of course, it will be as you prefer.	물론 당신이 원한다면 그대로 부르겠습니다.	1102.SND
1102.SBE	6	541	660	Not everyone has the luxury to choose his own name, mister...?	자기 이름을 고를 사치를 누리는 사람은 많지 않지요, 미스터...?	1102.SND
1102.SBE	7	670	690	Kronos.	크로노스.	1102.SND
1102.SBE	8	710	820	Whether you are Cath or Whitney, is a matter of indifference to me.	당신이 캐스든 휘트니든 내겐 중요하지 않습니다.	1102.SND
1102.SBE	9	835	960	I am prepared to continue the discussion begun by my agent in Paris,	파리의 내 대리인이 시작한 논의를 이어갈 준비가 되어 있습니다.	1102.SND
1102.SBE	10	961	1065	provided that you have the piece of which you spoke.	당신이 말한 물건을 갖고 있다는 전제하에서요.	1102.SND
1102.SBE	11	1080	1165	Is Kronos your first name or your last name?	크로노스는 이름입니까, 성입니까?	1102.SND
1102.SBE	12	1166	1350	I have no time to!.. continue this delightful discussion of names.	이 유쾌한 이름 이야기를 계속할 시간은 없군요.	1102.SND
1102.SBE	13	1351	1455	I have brought with me a rather heavy briefcase.	꽤 묵직한 서류가방을 가져왔습니다.	1102.SND
1102.SBE	14	1456	1575	I would like to know now if the proposed exchange interests you	이제 내가 제안한 교환에 당신이 관심이 있는지 알고 싶군요.	1102.SND
1102.SBE	15	1576	1665	and if you are capable of completing it.	그리고 그걸 끝까지 해낼 능력이 있는지도요.	1102.SND
1102.SBE	16	1670	1800	Not just at the moment, but I have hopes of being able to do so.	지금 당장은 아니지만, 해낼 수 있으리라 봅니다.	1102.SND
1102.SBE	17	1801	1890	In that case, we have nothing further to discuss.	그렇다면 더 논의할 건 없군요.	1102.SND
1102.SBE	18	1900	1990	I myself must leave the train in Vienna.	나도 빈에서 내려야 하니까요.	1102.SND
1102.SBE	19	2000	2145	In case we do not see each other again, I wish you a pleasant journey to Istanbul	다시 못 만날 수도 있으니, 이스탄불까지 즐거운 여정 되시길 바랍니다.	1102.SND
1102.SBE	20	2146	2295	and continued success in avoiding the British and French authorities.	그리고 영국과 프랑스 당국의 추적도 계속 잘 피해 다니시길 빌죠.	1102.SND
1102.SBE	21	2310	2400	Have a pleasant evening, mister Cath.	좋은 저녁 보내십시오, 미스터 캐스.	1102.SND
1102.SBE	22	2430	2460	Kahina will show you out.	카히나가 배웅해 줄 거요.	1102.SND
1103.SBE	0	35	78	Are you still here?	아직 여기 있었나?	1103.SND
1103.SBE	1	78	135	Tell his excellency I'd like to...	각하께 전해주세요. 제가...	1103.SND
1103.SBE	2	135	201	Tell him I want to talk to him about the firebird.	불새 건으로 이야기를 나누고 싶다고요.	1103.SND
1104.SBE	0	1	239	Tell his excellency I'd like to speak...	각하께 말씀드려요. 제가 얘기하고 싶다고...	1104.SND
1105.SBE	0	99	162	Come in. Make yourself comfortable.	들어오십시오. 편히 앉으시죠.	1105.SND
1105.SBE	1	181	249	Why, thank you, Kahina. I think I will.	아, 고맙군요, 카히나. 그러죠.	1105.SND
1105.SBE	2	262	308	Good morning, Mr Cath.	좋은 아침입니다, 미스터 캐스.	1105.SND
1105.SBE	3	308	377	I hope you have good news for me today.	오늘은 좋은 소식을 가져오셨길 바랍니다.	1105.SND
1105.SBE	4	377	460	That depends. Do you still want the firebird?	그건 상황에 따라 다르죠. 아직도 불새를 원합니까?	1105.SND
1105.SBE	5	460	487	Do you have it?	가지고 있습니까?	1105.SND
1105.SBE	6	516	551	What happened to Tyler?	타일러에게 무슨 일이 있었죠?	1105.SND
1105.SBE	7	597	748	The misadventures of Mr Whitney and his colleagues are of no interest to me.	미스터 휘트니와 그 동료들의 불운한 소동엔 관심 없습니다.	1105.SND
1105.SBE	8	748	820	Let us conclude this transaction quickly.	이 거래는 빨리 끝냅시다.	1105.SND
1105.SBE	9	820	885	We both have many other things to do.	우리 둘 다 할 일이 많으니까요.	1105.SND
1105.SBE	10	885	1057	I - with my collection, and you - with your troubles and special interests.	나는 내 수집품을, 당신은 당신의 골칫거리와 특별한 관심사를 챙겨야 하죠.	1105.SND
1105.SBE	11	1057	1189	Your treatment of Vassili Alexandrovich, for example.	예컨대 바실리 알렉산드로비치에 대한 당신의 처치 말입니다.	1105.SND
1105.SBE	12	1289	1333	Datura Stramonium	다투라 스트라모니움.	1105.SND
1105.SBE	13	1347	1389	Very interesting.	아주 흥미롭군요.	1105.SND
1105.SBE	14	1389	1423	It's very simple.	아주 간단합니다.	1105.SND
1105.SBE	15	1423	1501	Simple to us, perhaps.	우리에게는 그렇겠죠.	1105.SND
1105.SBE	16	1501	1609	But few European doctors would have thought of it.	하지만 유럽 의사 중 그걸 떠올린 사람은 거의 없었을 겁니다.	1105.SND
1105.SBE	17	1620	1713	Once in Nigeria... but I digress.	나이지리아에서 한 번... 하지만 이야기가 샜군요.	1105.SND
1105.SBE	18	1713	1773	Do you have the firebird?	불새를 갖고 있습니까?	1105.SND
1105.SBE	19	1773	1824	Not technically.	엄밀히 말하면 아닙니다.	1105.SND
1105.SBE	20	1824	1899	Than I shall waste no more of your time.	그렇다면 더는 당신 시간을 뺏지 않겠습니다.	1105.SND
1105.SBE	21	1925	2023	I shall look forward to our next meeting, Mr Cath.	다음 만남을 기대하겠습니다, 미스터 캐스.	1105.SND
1106.SBE	0	109	186	I guess this means his excellency would like to see me.	이건 각하께서 절 보길 원하신다는 뜻이겠군요.	1106.SND
1106.SBE	1	235	323	You know, he really has a way of making people feel wanted.	그분은 사람들로 하여금 자신이 꼭 필요한 존재인 듯 느끼게 만드는 재주가 있네요.	1106.SND
1106.SBE	2	323	420	Is this how he persuaded Miss Wolff to join him in a duet?	이게 미스 볼프를 이중주로 끌어들인 방식입니까?	1106.SND
1106.SBE	3	436	549	You talk a great deal for a man who knows so little.	아는 건 별로 없으면서 말은 참 많군요.	1106.SND
1106.SBE	4	565	593	Tell him I'll be there.	그분께 제가 가겠다고 전해요.	1106.SND
1106A.SBE	0	109	186	I guess this means his excellency would like to see me.	이건 각하께서 절 보길 원하신다는 뜻이겠군요.	1106A.SND
1106A.SBE	1	235	323	You know, he really has a way of making people feel wanted.	그분은 사람들로 하여금 자신이 꼭 필요한 존재인 듯 느끼게 만드는 재주가 있네요.	1106A.SND
1106A.SBE	2	323	420	Is this how he persuaded Miss Wolff to join him in a duet?	이게 미스 볼프를 이중주로 끌어들인 방식입니까?	1106A.SND
1106A.SBE	3	436	549	You talk a great deal for a man who knows so little.	아는 건 별로 없으면서 말은 참 많군요.	1106A.SND
1106A.SBE	4	565	593	Tell him I'll be there.	그분께 제가 가겠다고 전해요.	1106A.SND
1106D.SBE	0	109	186	I guess this means his excellency would like to see me.	이건 각하께서 절 보길 원하신다는 뜻이겠군요.	1106D.SND
1106D.SBE	1	235	323	You know, he really has a way of making people feel wanted.	그분은 사람들로 하여금 자신이 꼭 필요한 존재인 듯 느끼게 만드는 재주가 있네요.	1106D.SND
1106D.SBE	2	323	420	Is this how he persuaded Miss Wolff to join him in a duet?	이게 미스 볼프를 이중주로 끌어들인 방식입니까?	1106D.SND
1106D.SBE	3	436	549	You talk a great deal for a man who knows so little.	아는 건 별로 없으면서 말은 참 많군요.	1106D.SND
1106D.SBE	4	565	593	Tell him I'll be there.	그분께 제가 가겠다고 전해요.	1106D.SND
1107.SBE	0	272	301	Excellent.	훌륭하군요.	1107.SND
1107.SBE	1	429	524	You may keep that rather heavy briefcase with my blessings.	그 꽤 무거운 서류가방은 내 축복과 함께 가져가셔도 됩니다.	1107.SND
1107.SBE	2	524	616	I will choose to overlook the damage to my skylight.	내 채광창이 망가진 건 너그럽게 넘어가도록 하죠.	1107.SND
1107.SBE	3	646	686	Who killed Tyler?	타일러를 누가 죽였죠?	1107.SND
1107.SBE	4	686	738	Kahina will show you out.	카히나가 배웅해 줄 거요.	1107.SND
1107.SBE	5	748	866	It's been a pleasure doing business with you, Mr Whitney.	거래하게 되어 즐거웠습니다, 미스터 휘트니.	1107.SND
1107A.SBE	0	270	300	Excellent.	훌륭하군요.	1107A.SND
1107A.SBE	1	435	600	Please, accept this rather heavy briefcase as a token of my gratitude.	부디 이 꽤 무거운 서류가방을 감사의 표시로 받아주십시오.	1107A.SND
1107A.SBE	2	660	700	Who killed Tyler?	타일러를 누가 죽였죠?	1107A.SND
1107A.SBE	3	720	765	Kahina will show you out.	카히나가 배웅해 줄 거요.	1107A.SND
1107A.SBE	4	840	960	It's been a pleasure doing business with you, mister Whitney.	거래하게 되어 즐거웠습니다, 미스터 휘트니.	1107A.SND
1108.SBE	0	210	240	Oh dear.	오, 이런.	1108.SND
1108.SBE	1	241	390	I see that you have brought me neither the briefcase nor my firebird.	보아하니 당신은 내 서류가방도, 내 불새도 가져오지 않았군요.	1108.SND
1108.SBE	2	391	510	This game has gone on long enough.	이 장난은 이미 충분히 오래 이어졌습니다.	1108.SND
1109.SBE	0	195	240	I am disappointed.	실망스럽군요.	1109.SND
1109.SBE	1	255	345	I would have gladly let you keep this gold.	이 금은 기꺼이 당신에게 맡겨둘 생각이었습니다.	1109.SND
1109.SBE	2	346	450	If only you had seen fit to bring me the other.	다른 그것만 가져올 생각을 했더라면 좋았을 텐데요.	1109.SND
1109.SBE	3	451	540	It would have saved us so much time.	그랬다면 우리 모두 시간을 훨씬 아꼈을 겁니다.	1109.SND
1109.SBE	4	541	570	Maybe.	아마도요.	1109.SND
1109.SBE	5	571	660	What is it you want, mister Whitney?	원하는 게 뭡니까, 미스터 휘트니?	1109.SND
1109.SBE	6	661	800	Tyler Whitney is dead. I want to know who killed him and why.	타일러 휘트니는 죽었습니다. 누가 왜 그를 죽였는지 알고 싶군요.	1109.SND
1109.SBE	7	850	940	You are on your way to Jerusalem, are you not?	당신은 예루살렘으로 가는 길이죠. 그렇지 않습니까?	1109.SND
1109.SBE	8	941	975	How did you know that?	그걸 어떻게 알았죠?	1109.SND
1109.SBE	9	976	1110	Knowledge is more precious than gold and rarer than rubies.	지식은 금보다 귀하고 루비보다 희귀합니다.	1109.SND
1109.SBE	10	1120	1230	If knowledge is the coin, in which you wish to be paid,	당신이 지식이라는 화폐로 대가를 받고 싶다면,	1109.SND
1109.SBE	11	1231	1410	I could tell you many things about yourself and that ring you wear for example.	당신 자신에 대한 것들, 이를테면 손에 낀 그 반지 이야기도 해줄 수 있지요.	1109.SND
1109.SBE	12	1420	1560	But the question you ask... that question I cannot answer.	하지만 당신이 묻는 그 질문만큼은... 내가 답할 수 없습니다.	1109.SND
1109.SBE	13	1570	1620	Then I'll be on my way.	그럼 전 이만 가보죠.	1109.SND
1109.SBE	14	1621	1650	Not yet.	아직은 아니오.	1109.SND
1109.SBE	15	1651	1800	I'm afraid you owe me some slight favor for having helped yourself to my luggage.	내 짐을 멋대로 가져간 대가로, 당신은 내게 작은 호의를 하나 빚졌습니다.	1109.SND
1109.SBE	16	1801	1900	That scarf in his breast pocket. Get it please.	그의 가슴주머니에 있는 스카프요. 가져다주시겠습니까.	1109.SND
1109.SBE	17	2070	2160	Yes. Thank you, mister Cath.	네. 고맙습니다, 미스터 캐스.	1109.SND
1109.SBE	18	2161	2280	I shall keep it as a souvenir until our next encounter.	다음에 만날 때까지 기념품으로 간직해 두겠습니다.	1109.SND
1110.SBE	0	53	131	Ah, mister Cath.	아, 미스터 캐스.	1110.SND
1110.SBE	1	138	189	We have been waiting for you.	우린 당신을 기다리고 있었습니다.	1110.SND
1110.SBE	2	195	249	Not yet, my dear.	아직은 아니오, 아가씨.	1110.SND
1110.SBE	3	270	342	Would you bring us the firebird, please?	불새를 가져다주시겠습니까?	1110.SND
1112.SBE	0	57	134	Thank you, Mr Cath.	고맙습니다, 미스터 캐스.	1112.SND
1112.SBE	1	134	206	I am delighted to have made your acquaintance.	당신과 알게 되어 매우 기쁩니다.	1112.SND
1112.SBE	2	206	332	I hope that we will meet again, although I doubt it.	다시 만나길 바라지만, 아마 어렵겠지요.	1112.SND
1112.SBE	3	345	375	Miss Wolff.	미스 볼프.	1112.SND
1112.SBE	4	375	413	Don't bother.	신경 쓰지 마세요.	1112.SND
1112.SBE	5	506	586	Mr Cath, I am not ungrateful.	미스터 캐스, 난 은혜를 모르는 사람은 아닙니다.	1112.SND
1112.SBE	6	586	669	You have brought me my firebird.	당신은 내 불새를 가져왔군요.	1112.SND
1112.SBE	7	669	723	Now I shall give you something.	이제 내가 당신에게 뭔가를 주지요.	1112.SND
1112.SBE	8	723	849	When you go to Jerusalem, ask about the thirteenth tribe.	예루살렘에 가게 되면, 열세 번째 지파에 대해 물어보십시오.	1112.SND
1112.SBE	9	1271	1334	What's the matter? What is it?	무슨 일이죠? 무슨 문제입니까?	1112.SND
1116.SBE	0	53	131	Ah, mister Cath.	아, 미스터 캐스.	1116.SND
1116.SBE	1	138	189	We have been waiting for you.	우린 당신을 기다리고 있었습니다.	1116.SND
1116.SBE	2	195	249	Not yet, my dear.	아직은 아니오, 아가씨.	1116.SND
1116.SBE	3	270	342	Would you bring us the firebird, please?	불새를 가져다주시겠습니까?	1116.SND
1116.SBE	4	420	480	I'm afraid I don't have it anymore.	유감이지만, 이제 그건 제게 없습니다.	1116.SND
1116.SBE	5	481	510	Where is it?	그건 어디 있습니까?	1116.SND
1116.SBE	6	511	570	Somewhere west of Belgrade.	베오그라드 서쪽 어딘가에요.	1116.SND
1116.SBE	7	571	630	That is a pity.	그건 유감이군요.	1116.SND
1118.SBE	0	60	120	Sorry, wrong door.	죄송합니다. 문을 잘못 열었네요.	1118.SND
1202.SBE	0	65	100	Mind if I join you?	같이 앉아도 될까요?	1202.SND
1202.SBE	1	117	143	Why not?	왜 안 되죠?	1202.SND
1202.SBE	2	577	622	I didn't mean to scare you off.	놀라게 하려던 건 아니었어요.	1202.SND
1202.SBE	3	622	676	For me a bowl of soup is enough.	저는 수프 한 그릇이면 충분합니다.	1202.SND
1202.SBE	4	676	803	I can take no pleasure in food, while millions of my countrymen go without bread.	수백만의 제 동포가 빵도 없이 지내는데, 저 혼자 음식을 즐길 순 없습니다.	1202.SND
1202.SBE	5	813	840	Good evening.	그럼 안녕히.	1202.SND
1202A.SBE	0	65	100	Mind if I join you?	같이 앉아도 될까요?	1202A.SND
1202A.SBE	1	117	143	Why not?	왜 안 되죠?	1202A.SND
1202A.SBE	2	577	622	I didn't mean to scare you off.	놀라게 하려던 건 아니었어요.	1202A.SND
1202A.SBE	3	622	676	For me a bowl of soup is enough.	저는 수프 한 그릇이면 충분합니다.	1202A.SND
1202A.SBE	4	676	803	I can take no pleasure in food, while millions of my countrymen go without bread.	수백만의 제 동포가 빵도 없이 지내는데, 저 혼자 음식을 즐길 순 없습니다.	1202A.SND
1202A.SBE	5	813	840	Good evening.	그럼 안녕히.	1202A.SND
1203.SBE	0	75	117	Vassili Alexandrovitch.	바실리 알렉산드로비치.	1203.SND
1203.SBE	1	130	163	Grandfather.	할아버지.	1203.SND
1203.SBE	2	233	348	Vassili Alexandrovitch, I am Alexei Dolnikov.	바실리 알렉산드로비치, 저는 알렉세이 돌니코프입니다.	1203.SND
1203.SBE	3	353	419	I believe you knew my father.	당신은 제 아버지를 아셨던 걸로 압니다.	1203.SND
1203.SBE	4	429	570	I knew a Dolnikov. Pyotr Nikolaievitch.	돌니코프라는 사람을 알았지. 표트르 니콜라예비치.	1203.SND
1203.SBE	5	580	679	He was a good man, a pious man.	그분은 선한 분이자 경건한 분이었지.	1203.SND
1203.SBE	6	687	727	He had a son...	그에게 아들이 하나 있었지...	1203.SND
1203.SBE	7	733	851	...but that son brought shame upon him and upon his family.	...하지만 그 아들은 그와 그 가족에게 수치를 안겼다.	1203.SND
1203.SBE	8	855	977	Come, Granddaughter. I am a bit tired.	가자, 손녀야. 내가 좀 피곤하구나.	1203.SND
1203.SBE	9	1035	1065	Vassili Alexandrovitch,	바실리 알렉산드로비치,	1203.SND
1203.SBE	10	1066	1200	how many thousands have you condemned to prison and torture in the name of your piety?	당신은 그 경건함의 이름으로 몇천 명을 감옥과 고문으로 몰아넣었지?	1203.SND
1203.SBE	11	1215	1290	Or have you lost count?	아니면 이제 셀 수도 없나?	1203.SND
1204.SBE	0	1	60	Well, I think you made a pretty good first impression.	글쎄요, 첫인상은 꽤 강하게 남기셨네요.	1204.SND
1205.SBE	0	1	30	Excuse me.	실례합니다.	1205.SND
1205.SBE	1	60	105	Could you tell me what this paper says?	이 종이에 뭐라고 쓰였는지 알려주실 수 있나요?	1205.SND
1205.SBE	2	200	285	It's a Russian fairy tale. For children.	러시아 동화예요. 아이들을 위한.	1205.SND
1205.SBE	3	300	345	Could you translate it for me?	저를 위해 번역해 주실 수 있나요?	1205.SND
1205.SBE	4	346	390	Do you know what a fairy tale is?	동화가 뭔지 아시오?	1205.SND
1205.SBE	5	400	510	It's one of the ways that exploiters make the people forget that they're enslaved.	그건 착취자들이 민중에게 자신들이 노예라는 사실을 잊게 만드는 방법 중 하나요.	1205.SND
1205.SBE	6	511	630	For hundred years Russian peasants have told their children this story of a hero	수백 년 동안 러시아 농민들은 아이들에게 한 영웅의 이야기를 들려주었소.	1205.SND
1205.SBE	7	631	700	who plucks the tail feather from a firebird.	불새의 꼬리깃을 뽑아 오는.	1205.SND
1205.SBE	8	701	800	Child goes to bed with an empty stomach and dreams of a hero	아이는 빈속으로 잠자리에 들어 한 영웅을 꿈꾸지.	1205.SND
1205.SBE	9	801	840	who will never come.	결코 오지 않을 영웅을.	1205.SND
1205.SBE	10	841	880	Sorry I asked.	괜히 물었네요.	1205.SND
1206.SBE	0	1	30	Do you have a match?	성냥 있나요?	1206.SND
1206.SBE	1	80	135	Aren't you a little young to smoke?	담배 피우기엔 너무 어린 거 아닌가요?	1206.SND
1206.SBE	2	140	195	Monsieur, I'm not a little girl!	무슈, 저는 어린애가 아니에요!	1206.SND
1206.SBE	3	210	275	I have just spent the whole season in Paris.	이번 철은 파리에서 내내 보냈어요.	1206.SND
1206.SBE	4	285	345	And they tire. And I want to smoke.	그리고 그런 건 지겨워요. 전 담배가 피우고 싶어요.	1206.SND
1206.SBE	5	390	420	Thank you.	고마워요.	1206.SND
1206.SBE	6	443	483	What happened back there?	아까 거기서 무슨 일이 있었죠?	1206.SND
1206.SBE	7	487	519	You speak Russian?	러시아어를 하세요?	1206.SND
1206.SBE	8	523	550	A little.	조금요.	1206.SND
1206.SBE	9	551	585	Only what my mother was able to teach me.	어머니가 가르쳐주실 수 있었던 것뿐이죠.	1206.SND
1206.SBE	10	586	675	How funny! An American who speaks Russian.	재미있네요! 러시아어를 하는 미국인이라니.	1206.SND
1206.SBE	11	690	780	Then you heard the horrible things that man said to my grandfather.	그럼 그 남자가 제 할아버지께 한 끔찍한 말도 들으셨겠네요.	1206.SND
1206.SBE	12	781	800	Who is he?	그 사람은 누구죠?	1206.SND
1206.SBE	13	810	900	His name is Alexei. We grew up together.	이름은 알렉세이예요. 저희는 함께 자랐어요.	1206.SND
1206.SBE	14	901	990	We used to play together every summer in Odessa.	우리는 오데사에서 매년 여름 함께 놀곤 했어요.	1206.SND
1206.SBE	15	1005	1100	I can't imagine why he should want to quarrel with my grandfather.	왜 그가 제 할아버지와 다투려는지 이해가 안 가요.	1206.SND
1206.SBE	16	1101	1140	So childish.	정말 유치하죠.	1206.SND
1206.SBE	17	1155	1230	Well, may be he'll grow up. Like you.	글쎄요, 그도 철들겠죠. 당신처럼요.	1206.SND
1206A.SBE	0	1	30	Do you have a match?	성냥 있나요?	1206A.SND
1206A.SBE	1	80	135	Aren't you a little young to smoke?	담배 피우기엔 너무 어린 거 아닌가요?	1206A.SND
1206A.SBE	2	140	195	Monsieur, I'm not a little girl!	무슈, 저는 어린애가 아니에요!	1206A.SND
1206A.SBE	3	210	275	I have just spent the whole season in Paris.	이번 철은 파리에서 내내 보냈어요.	1206A.SND
1206A.SBE	4	285	345	And they tire. And I want to smoke.	그리고 그런 건 지겨워요. 전 담배가 피우고 싶어요.	1206A.SND
1206A.SBE	5	390	420	Thank you.	고마워요.	1206A.SND
1208.SBE	0	30	90	Do you think you could read this?	이거 읽어주실 수 있나요?	1208.SND
1208.SBE	1	200	330	The firebird. It's beautiful. Look at his burning tail.	불새예요. 정말 아름답죠. 불타는 꼬리를 보세요.	1208.SND
1208.SBE	2	331	375	Where did it come from?	이건 어디서 난 거죠?	1208.SND
1208.SBE	3	400	449	Ah, it belong to a friend of mine.	아, 그건 제 친구 거예요.	1208.SND
1208.SBE	4	450	465	What does it say?	뭐라고 쓰여 있죠?	1208.SND
1208.SBE	5	480	525	It's a poem for children.	아이들을 위한 시예요.	1208.SND
1208.SBE	6	530	610	It's a story about prince Ivan and the firebird.	이반 왕자와 불새에 관한 이야기예요.	1208.SND
1208.SBE	7	615	700	If you like, I could write out a translation and give it to you in the morning.	원하시면 번역본을 적어서 아침에 드릴게요.	1208.SND
1208.SBE	8	732	764	Thank you, Tatiana.	고마워요, 타티아나.	1208.SND
1208.SBE	9	767	820	You're welcome. Good night.	천만에요. 안녕히 주무세요.	1208.SND
1210.SBE	0	39	75	Let me through, I'm a doctor.	비켜 주세요, 저는 의사입니다.	1210.SND
1210.SBE	1	203	230	Boil some water.	물을 끓이세요.	1210.SND
1210.SBE	2	340	357	Vassili!	바실리!	1210.SND
1210.SBE	3	357	435	What are you doing? What kind of a doctor are you?	뭘 하시는 거요? 의사라는 사람이 이래도 되오?	1210.SND
1210.SBE	4	725	795	Don't listen to him, he doesn't know what he's saying.	저 사람 말 듣지 마요. 무슨 말 하는지도 몰라요.	1210.SND
1210.SBE	5	795	841	Vassili Alexandrovich!	바실리 알렉산드로비치!	1210.SND
1210.SBE	6	946	989	Who are you?	당신은 누구요?	1210.SND
1210.SBE	7	1294	1326	Set it down over there.	그건 저쪽에 내려놓으세요.	1210.SND
1210.SBE	8	1519	1612	Brew this in a tea and give him a cup every four hours, can you do that?	이걸 차로 달여서 네 시간마다 한 잔씩 드리세요. 할 수 있겠죠?	1210.SND
1210.SBE	9	1636	1655	Yes.	네.	1210.SND
1210.SBE	10	1668	1704	(What on earth is the matter with him)	(도대체 저분이 왜 저러는 거지)	1210.SND
1210.SBE	11	1704	1746	Let's clear out, let him sleep.	우린 나갑시다. 이분은 주무시게요.	1210.SND
1210.SBE	12	1851	1911	Miss Tatiana, could I speak with you?	미스 타티아나, 잠깐 말씀 나눌 수 있을까요?	1210.SND
1211.SBE	0	30	105	Good morning. How is your grandfather?	좋은 아침이에요. 할아버지는 좀 어떠세요?	1211.SND
1211.SBE	1	106	135	He's sleeping.	주무세요.	1211.SND
1211.SBE	2	136	195	Good. Don't forget the tea.	좋아요. 차는 잊지 마세요.	1211.SND
1211.SBE	3	196	210	I won't.	잊지 않을게요.	1211.SND
1211.SBE	4	225	300	I want to thank you for what you did.	당신이 해준 일에 감사드리고 싶어요.	1211.SND
1211.SBE	5	301	390	I don't know what I would have done if you hadn't been there.	당신이 없었다면 제가 어땠을지 모르겠어요.	1211.SND
1211.SBE	6	391	435	Has he been ill for long?	오랫동안 편찮으셨나요?	1211.SND
1211.SBE	7	451	540	I don't know. I've been living in France.	모르겠어요. 저는 프랑스에서 지내왔거든요.	1211.SND
1211.SBE	8	541	690	Grandfather came to bring me home to Russia, I knew he wasn't well, but...	할아버지가 저를 러시아로 데려가려고 오셨는데, 편찮으신 건 알았지만...	1211.SND
1211.SBE	9	735	780	I have written out your poem.	당신 시를 적어왔어요.	1211.SND
1211.SBE	10	810	840	Thank you, Tatiana.	고마워요, 타티아나.	1211.SND
1211.SBE	11	990	1020	Excuse me.	실례합니다.	1211.SND
1212.SBE	0	30	105	Good morning. How is your grandfather?	좋은 아침이에요. 할아버지는 좀 어떠세요?	1212.SND
1212.SBE	1	106	135	He's sleeping.	주무세요.	1212.SND
1212.SBE	2	136	195	Good. Don't forget the tea.	좋아요. 차는 잊지 마세요.	1212.SND
1212.SBE	3	196	210	I won't.	잊지 않을게요.	1212.SND
1212.SBE	4	225	300	I want to thank you for what you did.	당신이 해준 일에 감사드리고 싶어요.	1212.SND
1212.SBE	5	301	390	I don't know what I would have done if you hadn't been there.	당신이 없었다면 제가 어땠을지 모르겠어요.	1212.SND
1212.SBE	6	391	435	Has he been ill for long?	오랫동안 편찮으셨나요?	1212.SND
1212.SBE	7	451	540	I don't know. I've been living in France.	모르겠어요. 저는 프랑스에서 지내왔거든요.	1212.SND
1212.SBE	8	541	690	Grandfather came to bring me home to Russia, I knew he wasn't well, but...	할아버지가 저를 러시아로 데려가려고 오셨는데, 편찮으신 건 알았지만...	1212.SND
1212.SBE	9	720	810	Is there anything I could do to repay you? Please tell me.	제가 은혜를 갚을 방법이 있을까요? 꼭 말씀해 주세요.	1212.SND
1213.SBE	0	30	90	Do you think you could read this?	이거 읽어주실 수 있나요?	1213.SND
1213.SBE	1	200	330	The firebird. It's beautiful. Look at his burning tail.	불새예요. 정말 아름답죠. 불타는 꼬리를 보세요.	1213.SND
1213.SBE	2	331	375	Where did it come from?	이건 어디서 난 거죠?	1213.SND
1213.SBE	3	390	420	Ah, it belong to a friend of mine.	아, 그건 제 친구 거예요.	1213.SND
1213.SBE	4	421	450	What does it say?	뭐라고 쓰여 있죠?	1213.SND
1213.SBE	5	460	495	It's a poem for children.	아이들을 위한 시예요.	1213.SND
1213.SBE	6	496	570	It's a story about prince Ivan and the firebird.	이반 왕자와 불새에 관한 이야기예요.	1213.SND
1213.SBE	7	571	690	If you like, I could write out a translation and give it to you this afternoon.	원하시면 번역본을 적어서 오늘 오후에 드릴게요.	1213.SND
1213.SBE	8	691	715	Thank you, Tatiana.	고마워요, 타티아나.	1213.SND
1213.SBE	9	840	870	Excuse me.	실례합니다.	1213.SND
1213A.SBE	0	90	120	Excuse me.	실례합니다.	1213A.SND
1215.SBE	0	60	90	What are you doing here?	여기서 뭐 하고 있죠?	1215.SND
1215.SBE	1	120	165	Give that to me.	그거 이리 줘요.	1215.SND
1215.SBE	2	166	225	Tatiana, you don't want this thing around.	타티아나, 너 이건 갖고 있으면 안 돼.	1215.SND
1215.SBE	3	226	285	If you don't give it back, I'll call the conductor	돌려주지 않으면 차장을 부를 거예요.	1215.SND
1215.SBE	4	286	330	and have you thrown off the train.	그리고 당신을 열차에서 쫓아내게 할 거예요.	1215.SND
1215.SBE	5	331	360	Give it to me.	내놔요.	1215.SND
1215.SBE	6	510	540	Now, get out.	이제 나가요.	1215.SND
1216.SBE	0	75	105	- What... - Tatiana,	- 뭐... - 타티아나,	1216.SND
1216.SBE	1	115	180	did you give your grandfather his tea after lunch?	점심 먹고 할아버지께 차 드렸니?	1216.SND
1216.SBE	2	220	240	Yes.	네.	1216.SND
1216.SBE	3	241	300	Don't forget, every 3 hours.	잊지 마, 3시간마다야.	1216.SND
1219.SBE	0	125	228	So, it was you in my dream!	그래, 내 꿈에 나온 게 바로 너였구나!	1219.SND
1219.SBE	1	245	300	Go on- take it!	자, 가져가!	1219.SND
