sbe	entry-index	full-tr
1227A.SBE	7	죽었어. 모두 죽었어.
1227A.SBE	8	불새.
1303.SBE	0	노크할 필요 없소. 다들 그러듯 그냥 들어오니까.
1303.SBE	1	당신은 누구요?
1303.SBE	2	여긴 내 객실이오. 당신은 누구요?
1303.SBE	3	여긴 타일러 휘트니의 객실이오.
1303.SBE	4	타일러는 어디 있소?
1303.SBE	5	살인자!
1303N.SBE	0	노크할 필요 없소. 다들 그러듯 그냥 들어오니까.
1303N.SBE	1	당신은 누구요?
1303N.SBE	2	여긴 내 객실이오. 당신은 누구요?
1303N.SBE	3	여긴 타일러 휘트니의 객실이오.
1303N.SBE	4	타일러는 어디 있소?
1303N.SBE	5	살인자!
1304.SBE	0	당신은 누구요?
1304.SBE	1	여긴 내 객실이오. 당신은 누구요?
1304.SBE	2	여긴 타일러 휘트니의 객실이오.
1304.SBE	3	타일러는 어디 있소?
1304.SBE	4	살인자!
1304N.SBE	0	당신은 누구요?
1304N.SBE	1	여긴 내 객실이오. 당신은 누구요?
1304N.SBE	2	여긴 타일러 휘트니의 객실이오.
1304N.SBE	3	타일러는 어디 있소?
1304N.SBE	4	살인자!
1305.SBE	0	막 말하려던 참인데, 내가 그를 죽인 건 아니오.
1305.SBE	1	당신은 누구요?
1305.SBE	2	제 이름은 로버트 캐스입니다.
1305.SBE	3	그러니까 당신이 캐스였군. 타일러가 당신 얘길 했소.
1305.SBE	4	그는 당신이 자기에게 화가 났다고 두려워했소.
1305.SBE	5	그가 그런 걱정을 할 필요는 없었소. 그건 오래전 일이오.
1305.SBE	6	무슨 일인지 제대로 말해주는 게 좋겠소.
1305.SBE	7	타일러가 아우구스트 슈미트라는 자와 만났소. 그건 무슨 일이오?
1305.SBE	8	금은 어디 있소?
1305.SBE	9	무슨 금이오? 난 나무 상자 하나와 엉망이 된 방만 봤소.
1305.SBE	10	그럼 우린 진 거요. 이걸 어떻게 장군께 보고하지?
1305.SBE	11	아, 이걸 다른 이들에게 알려야겠군.
1305.SBE	12	무슨 장군이오? 당신과 타일러는 무슨 일에 얽혀 있었소?
1305.SBE	13	이 일은 아무에게도 말하면 안 되오. 아무에게도.
1305.SBE	14	열차 차장에게도 안 된다는 거요?
1305.SBE	15	당신은 경고를 받았소. 츠르나 루카, 검은 손.
1311.SBE	0	밀로시, 우리 얘기 좀 해야겠소.
1311.SBE	1	아우구스트 슈미트는 날 타일러로 알고 있소.
1311.SBE	2	난 이 판을 계속 굴리려고 맞춰준 거요.
1311.SBE	3	이제 이 판의 정체가 뭔지 알고 싶소.
1311.SBE	4	들어오시오. 앉으시오.
1311.SBE	5	'단결 아니면 죽음'을 들어봤소?
1311.SBE	6	물론이지. 하버드 교훈이던가. 아니면 우체국이던가?
1311.SBE	7	'단결 아니면 죽음'은 신성한 맹세요. 츠르나 루카.
1311.SBE	8	우리 모두 그 맹세를 했소. 타일러도.
1311.SBE	9	그는 원래 그런 걸 좋아했소.
1311.SBE	10	그는 이걸 위해 목숨을 바쳤소.
1311.SBE	11	타일러는 겨울에 우리에게 왔소.
1311.SBE	12	우리는 사라예보 북쪽 비엘라슈니차 산에 숨어 있었소.
1311.SBE	13	타일러가 왔을 때 우린 식량도, 총도, 아무것도 없었소.
1311.SBE	14	타일러가 우리에게 총을 가져다줬소.
1311.SBE	15	타일러는 아우구스트 슈미트에게서 뭘 원했소?
1311.SBE	16	타일러는 장군님에게 직접 임무를 받았소.
1311.SBE	17	그건 세르비아 민족의 위대한 보물이었소.
1311.SBE	18	그게 뭐였소?
1311.SBE	19	그건 불새라고 불렸소. 난 본 적이 없소.
1311.SBE	20	타일러는 그걸 금으로 팔아 독일인에게서 총을 사기로 되어 있었소.
1311.SBE	21	독일인이 우리가 금을 잃어버린 걸 알게 되면,
1311.SBE	22	모든 게 끝장이오.
1311.SBE	23	우리가 금을 갖고 있고 총을 사고 싶다고 그에게 전해야 하오.
1311.SBE	24	내가 왜 당신들이 아우구스트 슈미트를 속이는 걸 도와야 하오?
1311.SBE	25	그를 속인다고?
1311.SBE	26	독일인을 속인다는 말을 어떻게 입에 올리오?
1311.SBE	27	독일인들은 우리 땅을 공격하고, 우리 아이들 입에서 양식을 빼앗아 가지.
1311.SBE	28	우리는 우리 땅에서 노예처럼 살고 있소.
1311.SBE	29	타일러는 이걸 이해했소.
1311.SBE	30	당신이 우릴 배신하면, 그가 목숨 바쳐 지킨 대의를 배신하는 거요.
1311.SBE	31	그건 당신들의 대의지, 내 대의는 아니오.
1311.SBE	32	그런데 헤어 슈미트가 말하길, 어떤 물건을
1311.SBE	33	뮌헨에서 열차에 싣는다고 했소.
1311.SBE	34	그럼 이만, 마담.
1312.SBE	0	내 친구.
1312.SBE	1	기적이군.
1312.SBE	2	당신이 우리 총값을 치렀어!
1312.SBE	3	자, 잠깐만.
1312.SBE	4	이제 당신을 알겠소.
1312.SBE	5	당신은 우릴 안 돕는다면서 결국은 도와.
1312.SBE	6	당신은 슬라브인 같아. 우리 편이야!
1312D.SBE	0	내 친구.
1312D.SBE	1	기적이군.
1312D.SBE	2	당신이 우리 총값을 치렀어!
1312D.SBE	3	자, 잠깐만.
1312D.SBE	4	이제 당신을 알겠소.
1312D.SBE	5	당신은 우릴 안 돕는다면서 결국은 도와.
1312D.SBE	6	당신은 슬라브인 같아. 우리 편이야!
1313.SBE	0	들어오시오.
1313.SBE	1	당신이 와 있어서 좋소.
1313.SBE	2	우린 세워야 할 계획이 많소.
1313.SBE	3	당신 계획은 당신 사정이오.
1313.SBE	4	타일러 얘길 하고 싶소.
1313.SBE	5	당신이 누가 그를 죽였다고 생각하는지 알고 싶소.
1313.SBE	6	앉으시오.
1313.SBE	7	한잔합시다.
1313.SBE	8	말해주겠소. 파리를 떠날 때부터 타일러에게 뭔가 이상함이 있었소.
1313.SBE	9	내게는 아무 말도 하지 않았소.
1313.SBE	10	하지만 그는 겁먹은 사람 같았소. 늘 뒤를 돌아봤지.
1313.SBE	11	그건 타일러답지 않소. 난 편지에 뭔가 이상한 기운이 있다고 느꼈소.
1313.SBE	12	그가 뭔가를 두려워했다고 말했잖소.
1313.SBE	13	그에겐 그림자가 드리워져 있었소.
1313.SBE	14	그의 눈을 들여다보면, 죽음의 눈빛이 있었소.
1313.SBE	15	얼굴엔 자국이 있었소. 칼에 그인 듯한 세 줄이.
1313.SBE	16	내 부하들 짓이 아니오. 난 타일러를 친형제처럼 아꼈소.
1313.SBE	17	누가 그를 죽였는지 알게 되면 내 손으로 갈기갈기 찢어놓겠소.
1313.SBE	18	마시오.
1313.SBE	19	그걸 하기엔 아직 이른 시간인데요. 나중에 봅시다, 밀로시.
1313.SBE	20	안으로 들어오지 그러시오? 더 잘 들릴 거요.
1315.SBE	0	당신은 못 가.
1315.SBE	1	당신이 슬라브인이 아니라는 건 알겠소. 하지만 어떻게 오스트리아를 도울 수 있소?
1315.SBE	2	난 누구도 돕는 게 아니오. 내 주머니엔 콘스탄티노플행 표가 있고
1315.SBE	3	그걸 허비할 생각은 없소.
1315.SBE	4	이게 당신에겐 농담으로 보여?
1315.SBE	5	타일러를 누가 죽였죠?
1315.SBE	6	타일러는 우리의 자유를 위해 목숨을 바쳤어.
1315.SBE	7	그리고 당신! 뭘 믿지? 당신은 아무것도 믿지 않아.
1315.SBE	8	좋아. 속도가 줄고 있어. 이제 삽질은 멈춰도 돼.
1315A.SBE	0	당신은 못 가.
1315A.SBE	1	당신이 슬라브인이 아니라는 건 알겠소. 하지만 어떻게 오스트리아를 도울 수 있소?
1315A.SBE	2	난 누구도 돕는 게 아니오. 내 주머니엔 콘스탄티노플행 표가 있고
1315A.SBE	3	그걸 허비할 생각은 없소.
1315A.SBE	4	이게 당신에겐 농담으로 보여?
1315A.SBE	5	타일러를 누가 죽였죠?
1315A.SBE	6	타일러는 우리의 자유를 위해 목숨을 바쳤어.
1315A.SBE	7	그리고 당신! 뭘 믿지? 당신은 아무것도 믿지 않아.
1315A.SBE	8	좋아. 속도가 줄고 있어. 이제 삽질은 멈춰도 돼.
1401.SBE	0	같이 앉아도 될까요?
1401.SBE	1	물론이죠, 어서 앉으세요.
1401.SBE	2	우리 정식으로 인사한 적은 없는 것 같군요.
1401.SBE	3	조지 애벗입니다.
1401.SBE	4	타일러 휘트니입니다.
1401.SBE	5	정말 궂은 날씨군요.
1401.SBE	6	이 폭풍에서 좀처럼 벗어나질 못하네요. 아마 유럽 전역에 비가 오는 모양입니다.
1401.SBE	7	정말 대단하지 않습니까.
1401.SBE	8	오볼렌스키 가문과 친분이 생기셨다지요?
1401.SBE	9	저도 소개해 주셔야겠어요.
1401.SBE	10	전 러시아에 무척 매료되어 있거든요.
1401.SBE	11	어젯밤엔 꽤 놀라셨겠습니다.
1401.SBE	12	열차장이 당신이 아주 잘 처리했다고 하더군요.
1401.SBE	13	그 다른 러시아 친구 말입니다, 이름이 뭐더라... 혹시 보신 적 있습니까,
1401.SBE	14	그 젊은 친구가 근처를 어슬렁거리는 걸요?
1401.SBE	15	본 기억은 없군요.
1401.SBE	16	그 노인은 제정신이 아닌 것 같더군요.
1401.SBE	17	그래도 그는 오랫동안 차르의 비공식 특사 같은 역할을 해왔지요,
1401.SBE	18	무슨 말인지 아시겠죠.
1401.SBE	19	당신이 의사인 줄은 몰랐군요.
1401.SBE	20	당신은요?
1401.SBE	21	아, 저는 출장 중입니다.
1401.SBE	22	가끔 회사 일로 대륙 쪽에서 처리할 일이 생기면,
1401.SBE	23	제가 출동하는 거죠.
1401.SBE	24	그녀 참 매력적이지 않습니까?
1401.SBE	25	그 바이올리니스트, 미스 볼프 말입니다.
1401.SBE	26	헤어 슈미트와 꽤 잘 지내는 듯하군요.
1401.SBE	27	제 생각엔 그쪽 취향은 아닐 줄 알았는데요.
1401.SBE	28	헤어 슈미트를 여기서 보는 것도 꽤 뜻밖이고요.
1401.SBE	29	독일 본국에서 일손이 모자랄 사람일 텐데,
1401.SBE	30	공장 증산이니 뭐니 해서 말입니다.
1401.SBE	31	독일인들은 참 부지런하죠.
1401.SBE	32	동방에서 무슨 일을 하는지 궁금하군요.
1401.SBE	33	그런데 본인 얘기는 하나도 안 하셨네요. 멀리 가십니까?
1401.SBE	34	콘스탄티노플까지 갑니다.
1401.SBE	35	아, 좋군요. 일 때문입니까, 아니면 휴양입니까?
1401.SBE	36	실은 요양차 가는 길입니다.
1401.SBE	37	그렇죠, 골칫거리만 있다면야 잠시 벗어나는 것도 참 좋지요.
1401.SBE	38	새 기후, 새 지평, 그런 것들 말입니다.
1401.SBE	39	물론 의사인 당신께 굳이 말할 필요는 없겠지만요.
1401.SBE	40	게다가 의사에 미국인이라니, 꽤 흥미로운 우연이네요.
1401.SBE	41	제가 뮌헨에서 탔을 때 경찰이 미국인 의사를 찾고 있더군요,
1401.SBE	42	파리에서 경찰을 따돌리고 달아난 사람 말입니다.
1401.SBE	43	듣자 하니 그자는 아일랜드 광신도들, 자치 운동인가 뭔가와 얽혀 있다더군요,
1401.SBE	44	그 경찰관을 죽인 그 무리요.
1401.SBE	45	신문이 온통 그 이야기였습니다.
1401.SBE	46	아무튼 그 젊은 의사는 꽤 곤란한 처지인 모양이더군요.
1401.SBE	47	신문에 난 걸 다 믿진 마십시오.
1401.SBE	48	아니요, 전 믿는 편입니다. 그게 훨씬 재미있거든요. 뭐, 제 소관은 아닙니다만.
1401.SBE	49	그런데 그 재킷, 소매가 좀 짧아 보이는군요.
1401.SBE	50	프랑스 재단사가 수선해 준 겁니까?
1401.SBE	51	저는... 오볼렌스키 쪽을 좀 살펴보러 가보죠...
1401.SBE	52	예, 물론이죠. 다시 뵙길 기대하겠습니다.
1401.SBE	53	참 유쾌한 분이군.
1402.SBE	0	이런! 객실을 잘못 찾아오신 것 같은데요.
1402.SBE	1	보아하니 우리 둘 다 객실을 잘못 찾았군요.
1402B.SBE	0	이런! 객실을 잘못 찾아오신 것 같은데요.
1402B.SBE	1	보아하니 우리 둘 다 객실을 잘못 찾았군요.
1403.SBE	0	한잔하시겠습니까? 우리 둘이, 남자 대 남자로요.
1403.SBE	1	저는 흡연차에 있겠습니다.
1404.SBE	0	여기 계셨군요. 참 성가신 일이었지요. 뭐, 끝나서 다행입니다.
1404.SBE	1	덕분에 수고를 좀 덜었습니다. 건배.
1404.SBE	2	수고를 덜었다니, 어떻게 말입니까?
1404.SBE	3	무정부주의자 녀석 하나가 열차에 타 있다는 첩보가 돌았거든요,
1404.SBE	4	그 불쌍한 늙은 오볼렌스키를 폭살시키려고 급행열차에 오른 거라더군요.
1404.SBE	5	그래서 회사에서 제가 그자를 찾아낼 수 있는지 보라고 보낸 겁니다,
1404.SBE	6	불상사가 생기기 전에 싹을 잘라버리라고요.
1404.SBE	7	사실 한동안은 그자가 당신인지 헷갈렸습니다.
1404.SBE	8	나요?
1404.SBE	9	표도 없이 가명으로 여행하고 계시니,
1404.SBE	10	제가 의심할 만도 했다는 건 이해하시겠죠.
1404.SBE	11	섭섭하게 생각하진 않으셨으면 합니다.
1404.SBE	12	그건 그렇고, 돌니코프 짐에서 이걸 찾았습니다.
1404.SBE	13	오, 잘하셨군요. 기폭장치라, 아주 좋습니다.
1404.SBE	14	저 친구들이 아무것도 아닌 걸로도 꽤 살벌한 물건을 만들어내는 솜씨는
1404.SBE	15	정말 놀랍습니다.
1404.SBE	16	말이 나와서 그런데, 다이너마이트는 못 찾으셨겠죠?
1404.SBE	17	다이너마이트요? 무슨 다이너마이트를 말합니까?
1405.SBE	0	아무튼, 잘하셨습니다.
1405.SBE	1	그럼 이제 한잔하시죠?
1406.SBE	0	여기 계셨군요. 참 성가신 일이었지요. 뭐, 끝나서 다행입니다.
1406.SBE	1	덕분에 수고를 좀 덜었습니다. 건배.
1406.SBE	2	수고를 덜었다니, 어떻게 말입니까?
1406.SBE	3	무정부주의자 녀석 하나가 열차에 타 있다는 첩보가 돌았거든요,
1406.SBE	4	그 불쌍한 늙은 오볼렌스키를 폭살시키려고 급행열차에 오른 거라더군요.
1406.SBE	5	그래서 회사에서 제가 그자를 찾아낼 수 있는지 보라고 보낸 겁니다,
1406.SBE	6	불상사가 생기기 전에 싹을 잘라버리라고요.
1406.SBE	7	사실 한동안은 그자가 당신인지 헷갈렸습니다.
1406.SBE	8	나요?
1406.SBE	9	표도 없이 가명으로 여행하고 계시니,
1406.SBE	10	제가 의심할 만도 했다는 건 이해하시겠죠.
1406.SBE	11	섭섭하게 생각하진 않으셨으면 합니다.
1406.SBE	12	섭섭한 마음은 없습니다.
1406.SBE	13	폭탄 찾아낸 건 정말 잘하셨습니다.
1406.SBE	14	혹시 이런 쪽 일에 좀 더 본격적으로 관심 가져볼 생각은 없습니까?
1406.SBE	15	무슨 쪽 말입니까?
1406.SBE	16	당신처럼 눈치 빠른 분이라면 유럽이 전쟁 직전이라는 걸 아실 텐데요.
1406.SBE	17	영국과 미국은 몇 가지... 공통된 이해관계가 있습니다.
1406.SBE	18	사정에 밝고 위기에서 침착한 미국인이라면,
1406.SBE	19	솔직히 당신 같은 인물이 필요합니다.
1406.SBE	20	영국 경찰 생각은 다른 모양이던데요.
1406.SBE	21	아, 그 아일랜드 경찰 건 말이군요. 좀 껄끄러운 사건이었죠.
1406.SBE	22	실은 제가 그 건을 들여다봤습니다만,
1406.SBE	23	그자가 다쳤더라도, 그자를 도운 건 분명 좋지 않았죠.
1406.SBE	24	우리 경찰은 동료 경찰이 죽는 일에 특히 예민하거든요.
1406.SBE	25	하지만 이번 건은 약간의 오해가 있었던 것 같기도 합니다.
1406.SBE	26	무슨 말인지 아시겠지만, 연루됐다는 이유만으로 죄를 뒤집어쓴 셈이지요.
1406.SBE	27	사실 당신은 의사고, 히포크라테스 선서니 뭐니 하는 게 있잖습니까.
1406.SBE	28	우리가 마음만 먹는다면, 이 일은 꽤 쉽게 정리할 수 있다고 봅니다.
1406.SBE	29	그러니까 당신이 마음만 먹으면 된다는 말이군요.
1406.SBE	30	미스터 캐스, 당신이 우리 눈에 띈 게 이번이 처음은 아닙니다.
1406.SBE	31	우린 당신을 어떻게 봐야 할지 늘 확신이 없었습니다.
1406.SBE	32	우리 중 일부는 당신을 통제 안 되는 위험한 인물로 보기도 했죠.
1406.SBE	33	당신 친구 미스터 휘트니처럼, 그에게도 불행한 일이 있었죠.
1406.SBE	34	난 늘, 막판에 가면
1406.SBE	35	당신도 우리 쪽 사람이 될 거라고 생각했는데, 어떻게 생각합니까?
1406.SBE	36	미안해요, 애벗. 난 어디 소속되는 체질이 아니오.
1406.SBE	37	그 제안은 아직 유효하다는 것만 기억해두시오.
1406.SBE	38	세상은 변하고 있고, 결국 어느 편에 설지는 정해야 합니다.
1406.SBE	39	그리고 때로는 상황이 너무 빨리 바뀌어 어느 쪽이 어느 쪽인지 구분하기조차 어렵죠.
1406.SBE	40	하지만 유감스럽게도,
1406.SBE	41	가끔은 결국 '우리 편이냐 적이냐' 문제로 귀결되기도 하오.
1406.SBE	42	무슨 말인지 아시겠죠.
1406.SBE	43	명심하죠. 실례하겠습니다.
1501.SBE	0	실례합니다, 무슈.
1501.SBE	1	여긴 마지막 침대차입니다.
1501.SBE	2	식당차를 찾으시면 두 칸 앞입니다.
1501.SBE	3	그냥 열차 끝까지 좀 걸어보려던 겁니다.
1501.SBE	4	이 객차 뒤에도 한 칸 더 있지 않나요?
1501.SBE	5	네, 하지만 개인 객차입니다.
1501.SBE	6	정말 죄송합니다, 무슈.
1501A.SBE	0	실례합니다, 무슈.
1501A.SBE	1	여긴 마지막 침대차입니다.
1501A.SBE	2	식당차를 찾으시면 두 칸 앞입니다.
1501A.SBE	3	그냥 열차 끝까지 좀 걸어보려던 겁니다.
1501A.SBE	4	이 객차 뒤에도 한 칸 더 있지 않나요?
1501A.SBE	5	네, 하지만 개인 객차입니다.
1501A.SBE	6	정말 죄송합니다, 무슈.
1502.SBE	0	무슈 휘트니, 실례합니다.
1502.SBE	1	각하께서 개인 객차에서 당신을 뵙길 원하십니다.
1502.SBE	2	각하라고요?
1502.SBE	3	예, 무슈. 당신을 기다리고 계십니다.
1502A.SBE	0	무슈 휘트니, 실례합니다.
1502A.SBE	1	각하께서 개인 객차에서 당신을 뵙길 원하십니다.
1502A.SBE	2	각하라고요?
1502A.SBE	3	예, 무슈. 당신을 기다리고 계십니다.
1502D.SBE	0	무슈 휘트니, 실례합니다.
1502D.SBE	1	각하께서 개인 객차에서 당신을 뵙길 원하십니다.
1502D.SBE	2	각하라고요?
1502D.SBE	3	예, 무슈. 당신을 기다리고 계십니다.
1503.SBE	0	실례합니다, 무슈. 재킷에 그건 뭡니까?
1504.SBE	0	세상에, 무슨 일입니까?
1504.SBE	1	네?
1504.SBE	2	피가 온몸에 묻어 있잖아요.
1505.SBE	0	세상에!
1505A.SBE	0	세상에!
1506.SBE	0	잠깐만요.
1506.SBE	1	예, 무슈?
1506.SBE	2	침대 정리는 하지 마세요.
1506.SBE	3	그냥 이대로 두는 편이 제가 잠들기 더 편합니다.
1506.SBE	4	무슈도 저희 침대가 얼마나 편한지 놀라실 겁니다.
1506.SBE	5	기차에서는 절대 잠 못 잔다던 분들도 막상 자보면...
1506.SBE	6	그대로 두라고 했잖아!
1506.SBE	7	물론입니다, 무슈. 원하시는 대로 하겠습니다.
1506.SBE	8	편안한 밤 되십시오, 무슈.
1508.SBE	0	실례합니다, 선생. 여권을 보여주시겠습니까?
1508.SBE	1	무슨 일입니까?
1508.SBE	2	미국인인가?
1508.SBE	3	맞소. 그게 왜?
1508.SBE	4	인상착의와 일치합니다.
1508.SBE	5	무슈, 법에 따라 저희와 함께 가주셔야겠습니다.
1509.SBE	0	무슈, 도와드릴까요?
1509.SBE	1	예, 제 여행가방에서 물건 좀 꺼내고 싶습니다.
1509.SBE	2	수하물차는 승객 출입 금지입니다.
1509.SBE	3	여행 중에는 여행가방을 열 수 없습니다.
1509.SBE	4	당신도 못 연다는 겁니까?
1509.SBE	5	수하물칸은 봉인되어 있습니다, 무슈.
1509.SBE	6	이 제도 덕분에 오리엔트 특급 승객들은
1509.SBE	7	번거로운 세관 검사를 피할 수 있습니다.
1509.SBE	8	이제 승객 객차로 돌아가 주셔야겠습니다.
1509A.SBE	0	무슈, 도와드릴까요?
1509A.SBE	1	예, 제 여행가방에서 물건 좀 꺼내고 싶습니다.
1509A.SBE	2	수하물차는 승객 출입 금지입니다.
1509A.SBE	3	여행 중에는 여행가방을 열 수 없습니다.
1509A.SBE	4	당신도 못 연다는 겁니까?
1509A.SBE	5	수하물칸은 봉인되어 있습니다, 무슈.
1509A.SBE	6	이 제도 덕분에 오리엔트 특급 승객들은
1509A.SBE	7	번거로운 세관 검사를 피할 수 있습니다.
1509A.SBE	8	이제 승객 객차로 돌아가 주셔야겠습니다.
1509AN.SBE	0	무슈, 도와드릴까요?
1509AN.SBE	1	예, 제 여행가방에서 물건 좀 꺼내고 싶습니다.
1509AN.SBE	2	수하물차는 승객 출입 금지입니다.
1509AN.SBE	3	여행 중에는 여행가방을 열 수 없습니다.
1509AN.SBE	4	당신도 못 연다는 겁니까?
1509AN.SBE	5	수하물칸은 봉인되어 있습니다, 무슈.
1509AN.SBE	6	이 제도 덕분에 오리엔트 특급 승객들은
1509AN.SBE	7	번거로운 세관 검사를 피할 수 있습니다.
1509AN.SBE	8	이제 승객 객차로 돌아가 주셔야겠습니다.
1509AS.SBE	0	무슈, 도와드릴까요?
1509BN.SBE	0	무슈, 도와드릴까요?
1509N.SBE	0	무슈, 도와드릴까요?
1509N.SBE	1	예, 제 여행가방에서 물건 좀 꺼내고 싶습니다.
1509N.SBE	2	수하물차는 승객 출입 금지입니다.
1509N.SBE	3	여행 중에는 여행가방을 열 수 없습니다.
1509N.SBE	4	당신도 못 연다는 겁니까?
1509N.SBE	5	수하물칸은 봉인되어 있습니다, 무슈.
1509N.SBE	6	이 제도 덕분에 오리엔트 특급 승객들은
1509N.SBE	7	번거로운 세관 검사를 피할 수 있습니다.
1509N.SBE	8	이제 승객 객차로 돌아가 주셔야겠습니다.
1509S.SBE	0	무슈, 도와드릴까요?
1509SN.SBE	0	무슈, 도와드릴까요?
1511.SBE	0	실례합니다. 타일러 휘트니 객실이 몇 번인지 알려주시겠습니까?
1511.SBE	1	아, 무슈 휘트니, 실례했습니다. 당신 객실은 1번입니다.
1511A.SBE	0	실례합니다. 타일러 휘트니 객실이 몇 번인지 알려주시겠습니까?
1511A.SBE	1	아, 무슈 휘트니, 실례했습니다. 당신 객실은 1번입니다.
1511B.SBE	0	예, 무슈?
1511B.SBE	1	죄송합니다. 실수로 호출 버튼을 눌렀나 봅니다.
1511B.SBE	2	알겠습니다, 무슈.
1511BA.SBE	0	예, 무슈?
1511BA.SBE	1	죄송합니다. 실수로 호출 버튼을 눌렀나 봅니다.
1511BA.SBE	2	알겠습니다, 무슈.
1511C.SBE	0	실례합니다, 저를 찾으셨습니까?
1511C.SBE	1	아, 무슈 휘트니, 실례합니다. 못 알아봤습니다.
1511C.SBE	2	헤어 슈미트가 식당차에서 기다리고 있습니다.
1511D.SBE	0	무슈 휘트니, 헤어 슈미트가 식당차에서 기다리고 있습니다.
1511E.SBE	0	실례합니다. 타일러 휘트니 객실이 어디인지 알려주시겠습니까?
1511E.SBE	1	그 미국 신사라면 첫 번째 침대차에 있습니다.
1512.SBE	0	아, 무슈 휘트니.
1512.SBE	1	크로노스 공께서 개인 객차에서 열리는 연주회에 당신을 초대하고 싶어 하십니다.
1512.SBE	2	마담 볼프가 바이올린을 연주할 겁니다.
1512.SBE	3	거기에 제가 와 있길 원한다고요?
1512.SBE	4	예, 무슈. 세 시입니다.
1512.SBE	5	각하께서 꼭 참석하시길 강하게 바라셨습니다.
1513.SBE	0	잠깐만요.
1513.SBE	1	거긴 어떻게 들어간 거요?
1513.SBE	2	쉿. 무슈 오볼렌스키는 주무시는 중입니다. 방해받아선 안 됩니다.
1513.SBE	3	네, 선생님.
1518.SBE	0	죄송합니다. 문을 잘못 열었습니다.
1518A.SBE	0	죄송합니다. 문을 잘못 열었습니다.
1518B.SBE	0	죄송합니다. 문을 잘못 열었습니다.
1591.SBE	0	실례합니다, 무슈. 식당차로 다시 모셔다드릴까요?
1592.SBE	0	무슈, 수하물차는 출입 금지입니다. 식당차로 돌아가 주십시오.
1593.SBE	0	무슈, 도와드릴까요?
1594.SBE	0	무슈, 여기서 무엇 하십니까?
1601.SBE	0	파리, 1914년 7월 24일
1601.SBE	1	신사 숙녀 여러분, 주목해 주십시오.
1601.SBE	2	오리엔트 특급열차가 지금 출발합니다.
1601.SBE	3	스트라스부르, 뮌헨, 비엔나, 부다페스트, 베오그라드, 소피아, 콘스탄티노플행입니다.
1601.SBE	4	모든 승객께서는 탑승해 주십시오.
1603.SBE	0	한번 노래하게 해보지 그래?
1603.SBE	1	스트라스부르, 오전 3시 38분
1610.SBE	0	세상에!
1611.SBE	0	이 트렁크들은 전부 당장 내려야 해요.
1611.SBE	1	조심하세요! 이 트렁크는 매우 깨지기 쉬워요!
1611.SBE	2	뒤쪽 것도 잊지 마요! 이 세 개랑 저것도요.
1612.SBE	0	부디 이 꽤 무거운 서류가방을 감사의 표시로 받아주십시오.
1612.SBE	1	거래하게 되어 즐거웠습니다, 미스터 휘트니.
1615.SBE	0	꽃이요! 아가씨, 꽃 한 송이 어떠세요? 꽃이요!
1615.SBE	1	좋은 하루 되세요.
1615.SBE	2	노란 장미 한 송이 주세요.
1615.SBE	3	아가씨를 위한 아름다운 노란 장미입니다.
1615.SBE	4	속보! 속보! 오후 신문 나왔습니다!
1615.SBE	5	세르비아가 오스트리아에 회답! 자세한 소식 읽어보세요!
1702.SBE	0	잠깐!
1702.SBE	1	거기 뭐 들고 있니?
1702.SBE	2	내가 찾았어, 내 거야!
1702DD.SBE	0	잠깐!
1702DD.SBE	1	거기 뭐 들고 있니?
1702DD.SBE	2	내가 찾았어, 내 거야!
1702ND.SBE	0	잠깐!
1702ND.SBE	1	거기 뭐 들고 있니?
1702ND.SBE	2	내가 찾았어, 내 거야!
1702NU.SBE	0	잠깐!
1702NU.SBE	1	거기 뭐 들고 있니?
1702NU.SBE	2	내가 찾았어, 내 거야!
1704.SBE	0	이봐, 꼬마.
1704.SBE	1	이것 좀 봐.
1704.SBE	2	그거 나한테 줄래?
1704.SBE	3	싫어. 내가 찾았어. 내 거야.
1704D.SBE	0	이봐, 꼬마.
1704D.SBE	1	이것 좀 봐.
1704D.SBE	2	그거 나한테 줄래?
1704D.SBE	3	싫어. 내가 찾았어. 내 거야.
1705.SBE	0	교환하자.
1705.SBE	1	좋아. 네가 원하면.
1705.SBE	2	지금 자고 있어. 이제 더는 못 걸어.
1705D.SBE	0	교환하자.
1705D.SBE	1	좋아. 네가 원하면.
1705D.SBE	2	지금 자고 있어. 이제 더는 못 걸어.
1706.SBE	0	이봐, 꼬마.
1706.SBE	1	이것 좀 봐.
1706DD.SBE	0	이봐, 꼬마.
1706DD.SBE	1	이것 좀 봐.
1706ND.SBE	0	이봐, 꼬마.
1706ND.SBE	1	이것 좀 봐.
1706NU.SBE	0	이봐, 꼬마.
1706NU.SBE	1	이것 좀 봐.
1901.SBE	0	고마워요.
1901.SBE	1	그리고 이제, 친절히 그걸 열어주시겠습니까.
1902.SBE	0	아, 정말 아름답구나.
1902.SBE	1	무슨 소리지?
1902.SBE	2	창밖을 보세요. 점점 어두워지고 있어요.
1902.SBE	3	그게 대체 뭐죠?
1902.SBE	4	모르시나요?
1902.SBE	5	그건 살아 있는 심장이 뛰는 소리예요.
1902.SBE	6	자, 이제 노래하게 하세요.
1902.SBE	7	차르다스를 연주하세요. 어서!
1902.SBE	8	해가 진다.
1902.SBE	9	이제 됐어요. 알을 닫아주세요.
1902.SBE	10	닫아!
1903.SBE	0	안 돼!
1903.SBE	1	타일러...
1903.SBE	2	뛰어!
